iter	Passed	Remaining
0	458	22482
1	854	20497
2	1298	20344
3	1823	20973
4	2347	21124
5	2844	20857
6	3253	19988
7	3708	19468
8	4314	19656
9	4842	19370
10	5266	18670
11	5877	18610
12	6364	18115
13	6897	17735
14	7494	17486
15	7958	16910
16	8511	16522
17	9000	16000
18	9487	15480
19	10024	15037
20	10456	14439
21	10959	13947
22	11433	13422
23	11898	12890
24	12391	12391
25	12884	11893
26	13320	11346
27	13747	10801
28	14158	10252
29	14582	9721
30	15034	9214
31	15544	8743
32	16046	8266
33	16639	7830
34	17200	7371
35	17727	6894
36	18228	6404
37	18715	5910
38	19234	5424
39	19703	4925
40	20189	4431
41	20693	3941
42	21161	3444
43	21600	2945
44	22088	2454
45	22535	1959
46	23039	1470
47	23512	979
48	24007	489
49	24474	0
